"","canceled_service","senior_citizen","spouse_partner","dependents","cellular_service","avg_call_mins","avg_intl_mins","internet_service","online_security","online_backup","device_protection","tech_support","streaming_tv","streaming_movies","contract","paperless_bill","payment_method","months_with_company","monthly_charges"
"441","yes","yes","yes","no","multiple_lines",374,82,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","mailed_check",2,86.85
"442","no","no","yes","yes","single_line",286,134,"fiber_optic","no","yes","yes","no","yes","no","month_to_month","yes","electronic_check",34,89.85
"443","yes","no","yes","no","multiple_lines",485,123,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",7,86.5
"444","no","no","no","no","single_line",255,93,"digital","yes","no","no","yes","no","no","one_year","no","bank_draft",26,75
"445","no","no","yes","no","multiple_lines",384,183,"fiber_optic","no","no","no","no","yes","yes","month_to_month","no","credit_card",27,95
"446","no","no","yes","no","multiple_lines",488,132,"digital","no","no","no","no","yes","no","month_to_month","yes","credit_card",31,59.05
"447","no","no","no","no","multiple_lines",413,146,"fiber_optic","no","yes","yes","yes","no","no","month_to_month","yes","electronic_check",59,111.35
"448","no","no","no","yes","multiple_lines",314,128,"digital","yes","yes","yes","yes","no","no","two_year","yes","credit_card",69,79.45
"449","no","no","no","no","single_line",245,112,"digital","yes","yes","yes","yes","no","no","one_year","no","bank_draft",36,85.85
"450","yes","yes","no","no","multiple_lines",283,83,"fiber_optic","no","yes","yes","no","no","yes","month_to_month","yes","electronic_check",23,106.4
"451","yes","yes","no","no","multiple_lines",456,98,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","electronic_check",4,95.45
"452","no","no","no","no","multiple_lines",326,169,"fiber_optic","yes","no","yes","yes","yes","yes","two_year","no","credit_card",64,99.25
"453","no","no","yes","yes","multiple_lines",388,150,"fiber_optic","yes","yes","no","no","no","no","month_to_month","yes","electronic_check",45,105.15
"454","yes","no","yes","yes","single_line",277,105,"digital","no","no","yes","no","no","yes","month_to_month","no","electronic_check",7,48.7
"455","no","yes","yes","no","multiple_lines",388,160,"fiber_optic","no","yes","yes","no","yes","no","one_year","yes","credit_card",72,105.75
"456","yes","no","no","yes","multiple_lines",400,108,"fiber_optic","no","no","no","yes","no","no","month_to_month","no","credit_card",4,80.8
"457","no","no","no","no","single_line",307,105,"fiber_optic","no","yes","no","no","yes","yes","month_to_month","yes","electronic_check",12,84.6
"458","no","no","no","yes","single_line",356,65,"digital","no","no","no","yes","yes","no","one_year","no","credit_card",51,47.85
"459","yes","no","no","no","multiple_lines",346,95,"fiber_optic","no","no","no","no","yes","no","month_to_month","yes","electronic_check",4,85.65
"460","yes","no","no","no","single_line",458,58,"fiber_optic","no","no","no","no","yes","no","month_to_month","yes","electronic_check",1,70.6
"461","no","yes","no","no","single_line",387,107,"fiber_optic","no","no","yes","no","yes","yes","month_to_month","no","electronic_check",3,73.85
"462","no","no","yes","yes","multiple_lines",342,80,"fiber_optic","no","yes","no","no","yes","no","one_year","no","bank_draft",71,100.55
"463","no","no","no","no","multiple_lines",320,111,"fiber_optic","yes","yes","yes","yes","no","no","month_to_month","yes","electronic_check",41,106.5
"464","yes","yes","no","no","multiple_lines",410,100,"fiber_optic","no","no","no","no","no","yes","month_to_month","yes","electronic_check",14,74.3
"465","no","yes","yes","no","single_line",322,74,"fiber_optic","yes","yes","yes","yes","no","no","one_year","yes","credit_card",40,98.15
"466","yes","no","no","no","single_line",352,73,"digital","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",10,45.55
"467","no","no","yes","no","multiple_lines",284,44,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",21,94.3
"468","no","no","no","no","multiple_lines",400,90,"fiber_optic","no","no","yes","no","no","no","one_year","yes","bank_draft",66,92.15
"469","no","no","yes","no","multiple_lines",251,167,"fiber_optic","yes","yes","yes","yes","yes","yes","one_year","yes","mailed_check",54,114.65
"470","yes","no","yes","no","multiple_lines",391,157,"fiber_optic","no","yes","no","no","yes","yes","month_to_month","yes","bank_draft",49,99.05
"471","yes","no","yes","yes","multiple_lines",460,118,"fiber_optic","yes","yes","yes","no","yes","no","month_to_month","yes","electronic_check",63,100.55
"472","yes","yes","no","yes","single_line",334,31,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",1,71
"473","no","no","no","no","single_line",445,91,"digital","no","no","no","yes","yes","yes","month_to_month","yes","mailed_check",3,50.5
"474","yes","no","no","no","single_line",150,116,"fiber_optic","no","no","no","no","no","yes","month_to_month","yes","electronic_check",17,70
"475","yes","no","no","no","multiple_lines",407,135,"fiber_optic","no","no","yes","no","yes","yes","month_to_month","yes","electronic_check",14,80.45
"476","no","no","yes","no","single_line",337,99,"digital","no","yes","no","yes","yes","yes","month_to_month","yes","mailed_check",2,64.2
"477","no","no","yes","no","single_line",137,84,"digital","no","yes","yes","yes","no","no","month_to_month","no","bank_draft",26,81.9
"478","yes","no","no","no","single_line",336,88,"fiber_optic","no","no","yes","no","no","no","month_to_month","yes","electronic_check",10,94.9
"479","no","no","yes","yes","multiple_lines",233,132,"digital","yes","no","no","no","yes","no","one_year","yes","bank_draft",21,75.9
"480","no","no","no","no","multiple_lines",303,119,"fiber_optic","yes","yes","yes","no","no","no","two_year","yes","credit_card",71,106.75
"481","no","no","no","yes","single_line",319,119,"fiber_optic","no","yes","yes","yes","no","no","two_year","yes","electronic_check",26,105.45
"482","no","yes","yes","no","multiple_lines",377,127,"fiber_optic","yes","yes","yes","yes","yes","yes","two_year","yes","credit_card",70,113
"483","yes","yes","no","no","single_line",341,53,"digital","no","no","no","no","no","no","month_to_month","yes","electronic_check",2,44.15
"484","yes","no","no","no","multiple_lines",452,129,"fiber_optic","no","yes","no","yes","no","yes","month_to_month","yes","electronic_check",56,94.45
"485","yes","yes","yes","no","multiple_lines",384,128,"fiber_optic","no","yes","yes","no","no","yes","month_to_month","yes","bank_draft",57,95.25
"486","no","yes","yes","no","multiple_lines",412,99,"fiber_optic","no","yes","yes","no","yes","no","month_to_month","yes","electronic_check",64,94.25
"487","no","no","yes","yes","multiple_lines",286,110,"fiber_optic","no","yes","yes","no","no","yes","two_year","yes","bank_draft",63,104.8
"488","no","no","yes","yes","single_line",142,119,"digital","no","no","no","no","no","no","month_to_month","no","electronic_check",1,44.55
"489","yes","no","no","no","single_line",341,65,"digital","no","no","no","no","yes","no","month_to_month","yes","mailed_check",1,45.7
"490","no","no","yes","no","multiple_lines",309,107,"fiber_optic","no","no","yes","no","yes","no","month_to_month","no","electronic_check",34,100.85
"491","no","no","yes","yes","single_line",309,78,"fiber_optic","yes","yes","no","no","yes","yes","month_to_month","no","electronic_check",3,89.85
"492","no","no","no","yes","single_line",372,167,"digital","no","no","no","yes","no","no","one_year","yes","mailed_check",35,72.1
"493","no","no","yes","yes","multiple_lines",408,134,"fiber_optic","no","no","yes","yes","no","no","one_year","yes","bank_draft",58,105.05
"494","yes","no","no","yes","single_line",322,80,"fiber_optic","no","no","no","no","yes","no","month_to_month","no","electronic_check",3,69.65
"495","yes","yes","no","no","multiple_lines",514,92,"fiber_optic","no","no","no","no","yes","no","month_to_month","yes","electronic_check",4,94.3
"496","yes","yes","yes","no","multiple_lines",351,102,"fiber_optic","no","no","no","no","no","yes","month_to_month","yes","electronic_check",29,94.45
"497","no","no","no","no","multiple_lines",323,150,"fiber_optic","no","no","yes","no","yes","no","month_to_month","yes","credit_card",20,90.7
"498","yes","yes","yes","no","multiple_lines",308,103,"fiber_optic","no","yes","yes","no","no","no","month_to_month","yes","electronic_check",43,103
"499","no","no","yes","yes","multiple_lines",373,139,"fiber_optic","yes","yes","yes","no","no","yes","one_year","yes","credit_card",61,100.7
"500","no","no","no","no","single_line",329,110,"digital","yes","no","no","no","no","no","month_to_month","no","electronic_check",1,47.95
"501","no","no","yes","no","single_line",350,91,"fiber_optic","no","yes","no","no","yes","yes","month_to_month","yes","credit_card",12,85.05
"502","no","no","no","no","multiple_lines",320,66,"fiber_optic","no","yes","no","yes","no","no","month_to_month","no","electronic_check",15,95.7
"503","yes","no","no","yes","single_line",206,65,"digital","yes","no","no","yes","yes","no","month_to_month","yes","mailed_check",3,55.1
"504","yes","no","no","no","multiple_lines",437,141,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",3,74.25
"505","no","yes","no","no","single_line",391,69,"fiber_optic","no","no","no","no","no","no","month_to_month","no","credit_card",24,70
"506","yes","no","no","no","multiple_lines",387,97,"fiber_optic","no","yes","no","no","yes","yes","month_to_month","yes","electronic_check",23,79.15
"507","no","no","no","no","multiple_lines",367,118,"digital","yes","no","no","yes","yes","yes","two_year","no","mailed_check",45,73.55
"508","yes","no","no","yes","single_line",342,120,"fiber_optic","no","no","no","no","yes","no","month_to_month","no","bank_draft",15,69
"509","no","no","yes","no","single_line",263,83,"digital","yes","no","yes","no","yes","no","month_to_month","yes","mailed_check",65,55.15
"510","yes","yes","no","no","multiple_lines",371,96,"fiber_optic","no","yes","no","no","no","no","month_to_month","yes","electronic_check",19,88.2
"511","yes","no","no","no","single_line",320,87,"fiber_optic","no","yes","no","no","yes","no","month_to_month","no","electronic_check",11,74.95
"512","no","no","no","no","single_line",359,111,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","bank_draft",19,78.7
"513","no","no","no","no","single_line",267,109,"digital","no","no","yes","no","no","yes","month_to_month","no","electronic_check",2,60.85
"514","no","no","yes","no","multiple_lines",388,169,"digital","yes","yes","yes","yes","yes","no","two_year","no","credit_card",72,79.2
"515","yes","no","no","no","multiple_lines",424,102,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",11,76.5
"516","no","yes","no","no","multiple_lines",314,96,"fiber_optic","no","yes","yes","no","no","no","month_to_month","yes","electronic_check",41,104.4
"517","no","no","yes","no","single_line",209,87,"fiber_optic","no","no","yes","no","no","no","month_to_month","yes","credit_card",18,95.95
"518","yes","no","no","no","multiple_lines",394,52,"fiber_optic","no","no","no","yes","no","no","month_to_month","no","electronic_check",11,90.15
"519","no","no","yes","no","multiple_lines",228,154,"fiber_optic","no","no","yes","no","no","yes","month_to_month","yes","electronic_check",34,100.45
"520","no","no","yes","yes","multiple_lines",345,130,"digital","yes","no","yes","yes","no","yes","two_year","yes","mailed_check",59,76.45
"521","no","yes","yes","no","multiple_lines",371,106,"fiber_optic","no","no","yes","no","no","yes","month_to_month","yes","electronic_check",35,100.8
"522","no","no","no","no","single_line",302,115,"digital","yes","no","yes","yes","yes","yes","two_year","no","electronic_check",54,80.6
"523","no","no","yes","yes","single_line",301,81,"digital","yes","no","yes","no","yes","yes","two_year","no","credit_card",71,77.55
"524","no","yes","yes","no","multiple_lines",325,135,"fiber_optic","no","yes","yes","yes","yes","no","month_to_month","no","electronic_check",55,90.45
"525","no","no","yes","yes","multiple_lines",446,145,"fiber_optic","yes","no","yes","no","no","no","one_year","yes","bank_draft",60,95.4
"526","yes","no","yes","yes","multiple_lines",423,83,"fiber_optic","no","yes","yes","no","yes","no","month_to_month","yes","electronic_check",65,105.5
"527","yes","yes","no","no","single_line",399,53,"fiber_optic","no","no","yes","no","yes","no","month_to_month","yes","bank_draft",1,75.3
"528","yes","no","no","no","multiple_lines",431,108,"digital","no","yes","no","no","yes","yes","month_to_month","yes","mailed_check",2,54.4
"529","no","no","yes","no","single_line",295,121,"digital","no","yes","yes","yes","no","yes","one_year","yes","electronic_check",44,70.95
"530","no","no","no","no","multiple_lines",318,180,"fiber_optic","no","yes","yes","no","no","yes","month_to_month","yes","electronic_check",47,106.35
"531","no","no","yes","yes","single_line",370,57,"fiber_optic","no","yes","no","no","no","yes","month_to_month","no","bank_draft",16,73.25
"532","no","no","no","no","multiple_lines",372,115,"digital","no","no","no","yes","no","yes","month_to_month","yes","credit_card",28,54.9
"533","no","yes","no","no","multiple_lines",370,118,"fiber_optic","no","no","yes","no","no","yes","one_year","yes","electronic_check",55,100.15
"534","no","no","yes","no","multiple_lines",397,135,"digital","no","yes","no","no","yes","no","month_to_month","no","credit_card",18,56.8
"535","no","no","no","no","single_line",352,109,"fiber_optic","no","yes","no","no","yes","no","month_to_month","no","credit_card",3,74.45
"536","yes","yes","no","no","single_line",316,128,"fiber_optic","no","no","yes","no","yes","yes","month_to_month","yes","credit_card",10,84.6
"537","yes","no","yes","yes","multiple_lines",469,78,"fiber_optic","no","no","no","no","no","no","month_to_month","no","credit_card",33,86.15
"538","no","no","no","no","multiple_lines",437,145,"fiber_optic","yes","no","no","no","no","yes","month_to_month","yes","electronic_check",4,80.15
"539","no","no","no","no","single_line",302,99,"fiber_optic","no","no","yes","yes","no","no","month_to_month","yes","credit_card",29,98.8
"540","no","no","yes","no","multiple_lines",354,123,"digital","yes","yes","no","yes","no","yes","month_to_month","no","bank_draft",43,66.25
"541","yes","yes","no","no","multiple_lines",533,97,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",16,96.4
"542","yes","yes","yes","no","multiple_lines",317,144,"fiber_optic","no","no","yes","no","yes","no","month_to_month","yes","electronic_check",7,99.25
"543","no","no","yes","no","single_line",311,90,"digital","yes","yes","yes","yes","yes","yes","two_year","yes","credit_card",71,84.4
"544","no","yes","yes","no","single_line",295,134,"fiber_optic","no","no","yes","no","no","no","month_to_month","yes","credit_card",26,85.7
"545","no","no","no","no","multiple_lines",447,143,"fiber_optic","no","no","yes","yes","no","no","month_to_month","yes","mailed_check",26,84.3
"546","no","no","yes","no","multiple_lines",411,145,"fiber_optic","yes","yes","yes","no","no","no","one_year","no","bank_draft",64,89.45
"547","yes","no","yes","no","single_line",424,103,"fiber_optic","yes","yes","yes","yes","no","no","two_year","no","bank_draft",54,109.75
"548","yes","no","yes","yes","single_line",385,57,"fiber_optic","no","yes","no","no","yes","yes","month_to_month","yes","electronic_check",1,74.7
"549","no","no","yes","no","single_line",278,73,"digital","yes","yes","yes","yes","yes","yes","two_year","yes","bank_draft",66,85.9
"550","yes","yes","no","no","multiple_lines",385,121,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","credit_card",5,83.15
"551","yes","no","yes","yes","multiple_lines",394,116,"fiber_optic","no","no","no","no","yes","no","one_year","yes","mailed_check",48,82.05
"552","yes","no","no","no","multiple_lines",368,79,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",9,85.35
"553","no","no","no","no","single_line",202,93,"fiber_optic","no","yes","no","no","no","yes","month_to_month","no","credit_card",40,74.8
"554","yes","no","no","no","single_line",377,70,"digital","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",3,45.35
"555","no","no","yes","no","single_line",409,104,"digital","no","no","yes","no","no","yes","month_to_month","no","credit_card",2,69
"556","yes","no","no","no","multiple_lines",471,45,"fiber_optic","no","yes","yes","no","no","no","month_to_month","yes","electronic_check",39,103.45
"557","yes","yes","no","no","multiple_lines",487,155,"digital","no","no","no","yes","yes","yes","month_to_month","no","credit_card",15,55
"558","no","yes","yes","no","multiple_lines",471,158,"fiber_optic","yes","yes","yes","yes","yes","no","two_year","yes","bank_draft",72,116.05
"559","yes","no","no","no","multiple_lines",343,111,"fiber_optic","no","no","no","no","no","no","month_to_month","no","electronic_check",5,75.55
"560","no","no","no","no","single_line",288,127,"fiber_optic","yes","no","no","no","no","yes","month_to_month","yes","electronic_check",9,74.85
"561","no","yes","no","no","single_line",352,107,"fiber_optic","no","yes","no","no","yes","no","month_to_month","yes","electronic_check",5,84.7
"562","no","no","no","no","single_line",367,104,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",3,92
"563","no","no","no","no","multiple_lines",379,136,"fiber_optic","no","yes","no","no","yes","no","one_year","yes","mailed_check",52,80.2
"564","no","yes","no","no","multiple_lines",285,102,"fiber_optic","no","no","no","no","yes","no","month_to_month","yes","mailed_check",67,75.7
"565","no","no","no","no","multiple_lines",482,140,"fiber_optic","no","yes","no","no","yes","yes","one_year","yes","bank_draft",66,88.9
"566","yes","no","no","no","multiple_lines",375,69,"fiber_optic","yes","yes","no","no","yes","yes","month_to_month","yes","electronic_check",17,94.4
"567","yes","no","no","no","single_line",543,101,"fiber_optic","no","yes","yes","no","yes","yes","month_to_month","yes","electronic_check",13,81.15
"568","yes","no","no","no","single_line",400,74,"digital","no","no","no","no","no","no","month_to_month","no","credit_card",1,46.2
"569","no","no","no","no","multiple_lines",366,131,"fiber_optic","no","no","no","no","no","no","month_to_month","no","electronic_check",12,94.55
"570","yes","no","no","yes","multiple_lines",373,150,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",1,93.3
"571","no","yes","yes","no","multiple_lines",276,181,"fiber_optic","yes","yes","no","no","no","yes","one_year","yes","electronic_check",67,105.6
"572","no","yes","no","no","multiple_lines",410,97,"fiber_optic","yes","yes","yes","no","no","no","month_to_month","yes","electronic_check",59,89.75
"573","yes","no","yes","no","multiple_lines",367,107,"fiber_optic","no","no","yes","no","no","yes","month_to_month","yes","electronic_check",37,99.5
"574","no","no","no","no","multiple_lines",338,178,"fiber_optic","no","no","yes","yes","yes","no","month_to_month","yes","bank_draft",17,95.65
"575","yes","yes","no","no","multiple_lines",418,70,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",4,74.9
"576","no","yes","no","no","single_line",339,137,"digital","no","no","no","no","no","no","month_to_month","no","electronic_check",1,44
"577","yes","no","no","no","multiple_lines",398,121,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",1,75.3
"578","no","no","no","no","multiple_lines",333,152,"fiber_optic","no","yes","yes","no","no","yes","month_to_month","no","electronic_check",5,96.55
"579","no","no","no","no","single_line",320,100,"digital","yes","no","yes","no","yes","yes","month_to_month","no","electronic_check",2,53.45
"580","yes","yes","no","no","multiple_lines",334,69,"fiber_optic","no","yes","yes","no","yes","yes","month_to_month","yes","electronic_check",3,105
"581","no","no","no","no","multiple_lines",386,127,"fiber_optic","no","no","yes","no","no","yes","month_to_month","no","credit_card",54,89.4
"582","yes","no","yes","yes","single_line",360,43,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",26,90.8
"583","no","yes","no","no","single_line",367,135,"fiber_optic","yes","no","no","no","no","no","month_to_month","yes","bank_draft",23,75.4
"584","no","no","yes","yes","multiple_lines",432,156,"fiber_optic","yes","yes","yes","yes","no","no","two_year","yes","credit_card",72,112.6
"585","no","no","yes","no","multiple_lines",317,105,"digital","yes","no","yes","no","yes","yes","one_year","no","electronic_check",12,78.85
"586","no","no","yes","no","multiple_lines",379,119,"fiber_optic","no","yes","yes","no","yes","yes","month_to_month","yes","bank_draft",71,93.25
"587","no","no","no","no","multiple_lines",390,78,"fiber_optic","yes","yes","yes","yes","no","no","two_year","yes","credit_card",70,111.95
"588","yes","no","no","no","single_line",259,102,"fiber_optic","yes","no","no","no","yes","no","month_to_month","no","electronic_check",8,84.95
"589","no","no","yes","yes","multiple_lines",364,128,"fiber_optic","yes","no","yes","yes","yes","no","month_to_month","yes","mailed_check",56,109.6
"590","yes","yes","yes","no","single_line",386,127,"fiber_optic","no","yes","yes","no","no","yes","month_to_month","yes","mailed_check",30,79.65
"591","no","no","no","no","single_line",370,72,"digital","yes","no","no","no","no","yes","month_to_month","no","bank_draft",1,49.55
"592","no","no","yes","no","single_line",354,63,"digital","yes","no","no","no","yes","no","one_year","no","credit_card",27,48.7
"593","yes","no","yes","yes","multiple_lines",314,134,"digital","no","yes","yes","yes","yes","yes","one_year","yes","bank_draft",68,75.8
"594","yes","no","yes","yes","single_line",496,16,"fiber_optic","no","no","no","no","yes","yes","one_year","yes","bank_draft",28,90.1
"595","no","no","no","no","single_line",267,126,"fiber_optic","yes","yes","no","no","yes","yes","one_year","no","bank_draft",58,99.15
"596","yes","yes","yes","no","single_line",421,83,"fiber_optic","no","no","no","no","yes","yes","month_to_month","no","electronic_check",18,78.55
"597","no","no","no","no","single_line",228,92,"fiber_optic","no","yes","no","yes","yes","no","two_year","yes","bank_draft",41,98.8
"598","yes","no","no","no","multiple_lines",417,129,"fiber_optic","no","yes","yes","no","no","yes","month_to_month","yes","electronic_check",8,94
"599","no","no","no","no","multiple_lines",302,125,"fiber_optic","no","no","no","no","no","yes","month_to_month","no","electronic_check",10,75.05
"600","no","no","yes","no","multiple_lines",312,113,"fiber_optic","no","no","no","no","yes","yes","one_year","yes","bank_draft",61,96.5
"601","no","no","no","no","single_line",289,119,"fiber_optic","no","yes","no","no","no","no","month_to_month","no","electronic_check",2,74.95
"602","no","yes","no","no","multiple_lines",363,94,"fiber_optic","no","no","yes","yes","yes","no","one_year","no","electronic_check",64,102.1
"603","no","no","yes","yes","single_line",382,135,"digital","yes","yes","yes","yes","yes","yes","two_year","no","credit_card",71,64.05
"604","no","no","no","no","single_line",285,55,"fiber_optic","no","no","yes","yes","no","no","one_year","no","electronic_check",39,81.9
"605","no","no","yes","no","multiple_lines",344,142,"fiber_optic","no","no","yes","no","yes","no","month_to_month","yes","electronic_check",62,101.35
"606","no","no","yes","yes","single_line",276,95,"digital","yes","yes","no","no","no","no","one_year","no","electronic_check",57,53.45
"607","no","yes","no","no","single_line",212,98,"fiber_optic","no","yes","no","no","yes","yes","month_to_month","yes","credit_card",53,73.8
"608","no","no","no","no","multiple_lines",344,165,"fiber_optic","no","no","yes","yes","no","no","one_year","no","bank_draft",38,95
"609","no","no","no","no","single_line",383,97,"digital","no","no","yes","no","yes","no","one_year","yes","mailed_check",40,50.25
"610","yes","yes","yes","no","single_line",343,104,"fiber_optic","no","yes","no","no","no","no","month_to_month","yes","mailed_check",1,76.4
"611","no","no","no","no","multiple_lines",354,123,"fiber_optic","yes","yes","yes","yes","no","no","two_year","no","credit_card",43,115.05
"612","no","no","yes","yes","single_line",297,93,"fiber_optic","yes","yes","yes","no","yes","yes","two_year","yes","bank_draft",68,105.25
"613","no","no","yes","yes","multiple_lines",483,66,"fiber_optic","no","no","yes","no","no","no","two_year","yes","credit_card",59,99.5
"614","yes","no","no","no","single_line",275,15,"digital","no","yes","no","no","yes","no","month_to_month","no","credit_card",4,50.7
"615","no","no","yes","yes","single_line",301,129,"digital","yes","yes","no","yes","no","yes","two_year","yes","mailed_check",53,69.7
"616","no","no","no","no","single_line",275,97,"digital","yes","no","yes","yes","yes","yes","one_year","no","mailed_check",60,79
"617","no","no","yes","yes","multiple_lines",355,108,"digital","yes","yes","yes","yes","no","no","two_year","no","bank_draft",70,79.7
"618","no","no","yes","no","multiple_lines",183,135,"fiber_optic","no","yes","no","no","yes","no","one_year","yes","credit_card",51,90.35
"619","no","yes","yes","no","single_line",257,104,"fiber_optic","yes","yes","yes","no","yes","no","one_year","yes","credit_card",59,82.95
"620","no","no","no","no","multiple_lines",431,124,"fiber_optic","yes","no","no","no","no","yes","month_to_month","yes","bank_draft",11,79
"621","no","no","yes","no","multiple_lines",338,146,"fiber_optic","no","yes","no","yes","yes","no","month_to_month","yes","credit_card",48,105.1
"622","yes","no","yes","no","single_line",296,105,"fiber_optic","no","no","yes","no","no","yes","month_to_month","no","electronic_check",1,76.2
"623","yes","no","no","no","single_line",288,108,"digital","no","no","yes","no","yes","yes","month_to_month","yes","electronic_check",1,50.5
"624","yes","no","no","no","multiple_lines",502,120,"fiber_optic","no","no","no","no","no","yes","month_to_month","yes","electronic_check",8,86.55
"625","no","no","yes","yes","single_line",271,100,"fiber_optic","yes","yes","yes","yes","no","no","two_year","no","mailed_check",62,108.15
"626","no","no","yes","yes","single_line",222,94,"digital","no","no","no","no","yes","no","one_year","yes","electronic_check",13,64.75
"627","yes","no","no","no","single_line",456,47,"fiber_optic","no","no","no","no","yes","no","month_to_month","yes","electronic_check",30,90.25
"628","no","no","yes","no","multiple_lines",375,115,"fiber_optic","no","no","yes","no","no","yes","one_year","no","bank_draft",69,99.5
"629","yes","yes","no","no","multiple_lines",420,85,"fiber_optic","no","no","yes","no","yes","no","month_to_month","yes","credit_card",49,90.85
"630","no","no","yes","yes","multiple_lines",371,64,"digital","yes","no","no","no","no","no","two_year","no","bank_draft",72,55.3
"631","yes","no","yes","yes","single_line",562,101,"fiber_optic","yes","no","no","yes","no","yes","month_to_month","yes","electronic_check",23,99.85
"632","no","yes","yes","no","single_line",326,98,"fiber_optic","yes","yes","no","yes","yes","no","two_year","yes","credit_card",72,84.8
"633","no","yes","no","no","multiple_lines",428,93,"fiber_optic","yes","yes","yes","no","no","no","month_to_month","no","credit_card",52,108.1
"634","yes","yes","yes","no","multiple_lines",490,96,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","mailed_check",7,74.4
"635","yes","yes","no","no","multiple_lines",306,95,"fiber_optic","no","yes","no","no","yes","yes","month_to_month","yes","electronic_check",5,89.8
"636","yes","no","no","yes","single_line",364,68,"fiber_optic","no","yes","yes","yes","yes","yes","two_year","yes","mailed_check",48,95.5
"637","no","no","yes","no","single_line",383,90,"digital","no","no","no","no","yes","no","month_to_month","yes","mailed_check",3,46.1
"638","no","no","yes","no","multiple_lines",368,97,"fiber_optic","yes","yes","yes","yes","no","no","two_year","yes","credit_card",36,106.05
"639","yes","no","no","no","multiple_lines",450,125,"fiber_optic","no","no","no","no","no","yes","month_to_month","no","electronic_check",39,75.25
"640","no","no","yes","no","single_line",341,109,"digital","no","no","no","yes","no","no","month_to_month","no","bank_draft",14,48.8
"641","yes","no","yes","no","multiple_lines",386,128,"fiber_optic","no","yes","yes","yes","no","no","month_to_month","yes","electronic_check",42,99.45
"642","yes","no","yes","yes","single_line",358,76,"digital","no","no","yes","no","no","yes","month_to_month","yes","electronic_check",8,51.05
"643","no","no","yes","no","single_line",370,153,"fiber_optic","no","no","yes","no","yes","no","month_to_month","yes","electronic_check",25,74.6
"644","yes","no","yes","no","single_line",234,108,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",10,70.3
"645","yes","yes","no","no","multiple_lines",389,90,"fiber_optic","no","no","yes","no","no","no","month_to_month","yes","electronic_check",2,88.55
"646","no","no","yes","no","multiple_lines",414,125,"digital","yes","yes","yes","no","no","no","two_year","yes","credit_card",66,66.1
"647","no","no","no","yes","multiple_lines",189,150,"fiber_optic","no","yes","no","no","no","yes","month_to_month","yes","credit_card",22,89.1
"648","no","no","yes","yes","multiple_lines",350,41,"digital","yes","no","no","yes","yes","yes","one_year","no","bank_draft",29,69.05
"649","yes","no","no","no","multiple_lines",426,75,"fiber_optic","no","no","no","yes","yes","no","month_to_month","yes","electronic_check",18,88.35
"650","no","no","no","no","single_line",107,141,"digital","no","no","no","no","no","no","month_to_month","yes","electronic_check",1,55.25
"651","no","yes","yes","no","single_line",335,94,"digital","yes","no","yes","yes","no","yes","two_year","yes","credit_card",62,79.95
"652","no","no","no","no","multiple_lines",285,168,"fiber_optic","no","no","no","yes","no","yes","one_year","no","credit_card",31,81.7
"653","yes","no","yes","no","multiple_lines",510,83,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","electronic_check",3,95.2
"654","no","no","yes","yes","multiple_lines",382,83,"digital","yes","yes","yes","yes","no","no","two_year","yes","mailed_check",72,89.4
"655","no","no","no","yes","multiple_lines",315,101,"fiber_optic","no","yes","no","no","no","yes","month_to_month","yes","mailed_check",38,81.85
"656","no","no","no","no","multiple_lines",361,120,"digital","yes","no","yes","no","no","no","month_to_month","yes","electronic_check",13,78.75
"657","yes","no","no","no","single_line",348,74,"digital","yes","no","no","no","no","yes","month_to_month","yes","electronic_check",2,47.8
"658","yes","no","yes","no","multiple_lines",420,84,"fiber_optic","no","yes","no","no","yes","yes","month_to_month","yes","electronic_check",5,81.3
"659","no","yes","no","no","multiple_lines",325,138,"fiber_optic","no","no","no","no","yes","no","month_to_month","yes","bank_draft",52,72.95
"660","no","no","yes","no","multiple_lines",391,56,"digital","yes","yes","yes","yes","yes","no","two_year","no","bank_draft",66,91.7
